abstract,summary
"LIRR ticket agents at stations where new ticket machines have been installed now spend their time helping riders use machines, which are to eliminate their own jobs; photo; lawsuits to force railroad to retain agents noted (S) ","IRA S. LONDON of Northport walked up to the ticket machine at the Greenlawn railroad station and tried to insert a $ 10 bill. Moments later, the machine spit out his ticket and change.''I'm wondering, why are you here?'' Machines have replaced agents at 36 of the 134 stations. He directed the railroad to keep agents at an initial group of seven stations where the L.I.R.R. had closed ticket windows. Daniel R. Dwydir of Greenlawn said he had been commuting for 30 years and had changed from buying his monthly tickets at Greenlawn to buying them at Pennsylvania Station in Manhattan.'"
"Comment on history of Breezy Point, giant Heinsheimer mansion built in 1907 in Far Rockaway, fashionable resort in mid-19th century; house evokes Far Rockaway's Gatsby era; mansion was demolished in 1987, and all that remains is shell of its vandalized conservatory; photos (M) ","TAKE a trip to the dreamy new Bayswater Point Park, a cool, leafy peninsula at the foot of Mott Avenue in Far Rockaway, Queens. This little fragment is all that is left of'' Breezy Point,'' the giant Heinsheimer mansion, built in 1907 when Far Rockaway would n't even sniff at the Hamptons. By the 1890's Louis Bossert, the Brooklyn lumber magnate, had a Victorian-style house at the foot of Mott Avenue, which leads away from the village center of Far Rockaway to the bay. The New York City Audubon Society viewed Breezy Point as a key element in its'' Buffer the Bay'' project, aimed at protecting 700 acres of natural wetlands on Jamaica Bay."
"Interview with Jay Bergen, divorced lawyer and father of three who decided to move from his seven-room apartment on Broadway and 90th Street in Manhattan to mid-19th century Italianate duplex in townhouse in Brooklyn Heights, at 220 Columbia Heights, street parallel to Promenade and just behind it; photos (L) ","But he kept looking at smaller apartments, primarily on the Upper East Side. What about Brooklyn Heights?'' But he could n't wait: Thanksgiving Day 1995, found him wandering around the streets of Brooklyn Heights. Then he walked to the rear of the apartment, the Columbia Heights side, to a magnificent room with a grand fireplace with plaster carving in a Grinling Gibbons motif: pea pods intertwined with fruits and flowers. Then upstairs to two small rooms with a full bath.'' and I think I'll put it in the living room."
"Beate Gordon, longtime performing arts director at Asia Society, recalls how, at age 22, she was assigned by Gen Douglas MacArthur to write women's rights section of Japan's postwar Constitution; interview; Gordon grew up in Japan, where her father was concert pianist before World War II; she returned as Army translator in order to see her parents, who as Jews were interned in 1943; her lifelong involvement with Asian culture recounted (M) ","So it was with Beate Gordon, who at the age of 22 found herself one woman among 25 men, precipitously assigned by MacArthur to write the Japanese constitution still in use today. She was the force behind bringing the Vietnamese Thang Long Water Puppet Theater first to Lincoln Center and now to Southampton College, where it is presenting its last three performances today. She worked for the Office of War Information, even having her own radio show, a nostalgia program to try to convince the Japanese people to surrender, that was supposed to be the counterpart of Tokyo Rose. She told me how in her programs at the Asia Society she instituted pre-performance demonstrations in which people sit on the floor very close to the performers."
Plans for summer opera performances on East End of Long Island noted; photo (S) ,"This month opera aficionados will not have to venture far to hear a live aria. Mr. de Blasis has just resigned as artistic director of the Cincinnati Opera after 28 years. The singer lives in New Jersey with his wife, Susan Quittmeyer, a mezzo-soprano for the Metropolitan Opera and a native of Port Washington. In fact, all the performers are in their late 30s, he said, which is relatively young in opera. When the director asked these professionals to donate their services to the benefit, which would ordinarily cost an opera company about $ 30,000, he said that no one refused.'' Before this season, the director said'' we mixed opera with Broadway''''S but not this time.'' People want opera,'' she said."
"Crash of TWA Flight 800 thrusts Suffolk County, New York, medical examiner Charles V Wetli into limelight; experienced pathologist, who was appointed 18 months ago, is highly regarded, if little known, in his field; he says he does not fault Gov George Pataki for overruling him and calling in team to help with TWA autopsies, but objected to how Pataki carried out intentions; photos (M) ","The family members' headquarters at the Ramada Plaza Hotel at Kennedy International Airport, Dr. Wetli said, was disastrous and complicated identifications. He and Dr. Wetli said they did not know who had decided against moving the families to Hauppauge. Dr. Wetli said having the families nearer would have helped him address them directly.' In an early press briefing Dr. Wetli discouraged family members from going to the office. Officials said they knew of no family members who had insisted on going to Hauppauge to make identifications. Gray said Dr. Wetli deserved praise.'' I ca n't say enough accolades for the Suffolk County Medical Examiner and his staff,''"
Question &amp; Answer column on housing and real-estate subjects ,"As required by law, the landlord gets 1 percentage point of the security deposit interest as an administration fee. Tenants whose tenancies are subject to the New York City Rent Stabilization Law have additional protections regarding security deposits, he said. Under the Rent Stabilization Code, the amount of the security deposit can not exceed one month's rent, provided however that where a greater security deposit was paid by the tenant in continuous occupancy since the date the apartment became subject to the code, the deposit may continue in effect during the term of such lease and any lease renewals. Renting a House From a New OwnerQ I currently rent a town house in northern New Jersey. In New Jersey, tenants must be given 30 days' written notice of a rent increase."
Summer concert season at Norfolk Festival in Connecticut noted (S) ,"FOR more than half a century the Norfolk Festival has been the summer home of the Yale School of Music, but it was in 1899 that Ellen Battell Stoeckel, a pianist and singer, was instrumental in organizing the Litchfield Choral Society and building a festival around its programs. Evoking the spirit of earlier days are Sibelius's aforementioned'' Oceanides'' and several pieces by Percy Grainger, another composer whose music was premiered in early Norfolk days. Among other events at Norfolk this week are a family concert today at 3, young artists' recitals tomorrow, Wednesday and Thursday evenings at 7:30, and an 8 P.M. Friday chamber program featuring performances by Ms. Panetti and her pianist-colleague Claude Frank, Mr. Harth and his violinist-partner Syoko Aki, the violist Paul Neubauer and the cellist Timothy Eddy."
Long Island gerontologist Linda Costanza discusses planning for needs of the elderly; interview; photo (S) ,"Also, people need to know not only what those services are, but how they are to be financed. These centers provide a social setting for people who might otherwise be alone. Medical-model day care is like a daytime nursing home. Social-model day care is private pay, although there are other ways to pay for it. Medical-model day care is paid for as private pay or through Medicaid. What happens if their relative needs a nursing home and how to select one. But with nursing homes that cost $ 8,000 a month, that wo n't even last them a year. They may need a companion, a live-in, a home health aide or a social day-care center. Finally, there are nursing homes, when the elderly needs more care than you can give them."
Steven Suskin letter comments on Anthony Tommasini's July 21 article on Stephen Sondheim ,"To the Editor: Let's give poor Stephen Sondheim a break. All are different, but all are distinctively Sondheim. He finds'' Company,'' for example,'' strewn with disco rhythms''-- did n't disco burst onto the scene four years after'' Company'' closed?-- and featuring a band'' spiked with synthesizers'' ( of which there were precisely none, merely a lone electric piano).Yes, the choral writing did recall Dionne Warwick's backup singers; this had less to do with Sondheim's compositions, though, than with the orchestrator Jonathan Tunick's pit-scoring innovations the previous season for Burt Bacharach's'' Promises, Promises.''"
